cleaned_sentence,sentiment
pasar komuniti tak,neutral
lapang beli perlu,neutral
pasal ka,neutral
cadang tengok,negative
dapat enuhi perlu komuniti barang,positive
tawar,positive
lokasi nang cari akses suai,neutral
sedia takat uas,negative
suasana sih lesa ronok,negative
tawar patut mahal,negative
sosial garuh promosi kongsi sosial promosi nang,negative
galam uas,neutral
cadang ka ka ahli luarga,negative
dapat promosi tarik gunjung,positive
jal market,neutral
enuhi perlu komuniti barang cari,neutral
tawar susah jumpa,negative
lokasi nang parking susah cari,neutral
sedia guna gunjung,positive
suasana bersih kotor,positive
setengah mahal banding,negative
sosial pengaruhi,neutral
ka recommend,positive
ganjur promosi gunjung,neutral
mai duduk changlun pasal,neutral
komuniti udah perlu hari,positive
tawar benda onjol,neutral
lokasi nang mai akses susah cari,neutral
sedia elok uas,positive
sih suasana lesa gunjung beli jal,positive
jual patut milik banya,positive
sosial pasal promosi ikuti kembang,neutral
insya lapang mai,negative
kongsi galam suai gantung cari,neutral
dapat promosi jalan gunjung mai,positive
