cleaned_sentence,sentiment
jual milo aneka milo ais kisar milo milo laksa bihun sup,neutral
depend depend tengok situation,neutral
start around,negative
crowd crowd,positive
suai,positive
location suai main road,neutral
like sambut,neutral
niaga depend situation,neutral
makna crowd budak budak lebih menu budak budak,negative
dewasa dewasa,neutral
manfaat,positive
na manfaat,positive
manfaat,positive
manfaat,positive
crowd,negative
soal rm5,positive
gunjung pengaruhi,neutral
sosial post group community,neutral
buisness,neutral
maaf facebook,negative
okey,positive
bawa,positive
eleterik,neutral
soal,neutral
rm30,neutral
menu,neutral
crowd,negative
sanggup sanggup,positive
you,positive
jumpa next month,neutral
wedding,neutral
order,neutral
menu complete,neutral
ikhlas taste bagus bersih bagus,positive
pasal niaga,neutral
ka ka support,neutral
niaga,neutral
positif negative,positive
payah ikhlas,neutral
niaga na ambil positif,positive
negative masuk prepare,neutral
baiki ambil,neutral
negative about taste,negative
setting try,neutral
negative manfaat,neutral
social komen komen,neutral
three,neutral
three three three,neutral
you milo label label,neutral
taste customer,neutral
repeat order benda,neutral
komen komen just raja,neutral
you try tengok milo,neutral
milo milo,neutral
maksud you recommend you ka ma quality dap,neutral
010 syahrul milo,neutral
2841 009 syahrul milo,neutral
norlia saad,neutral
uncle stop,neutral
uncle,neutral
for today finish,positive
next time jumpa,neutral
norlia,neutral
